sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
1992-01-30;;;;175,49;175,49;175,49;;;;0;
1992-01-29;;;;176,66;176,66;176,66;;;;0;
1992-01-28;;;;178,65;178,65;178,65;;;;0;
1992-01-27;;;;179,58;179,58;179,58;;;;0;
1992-01-24;;;;178,78;178,78;178,78;;;;0;
1992-01-23;;;;177,75;177,75;177,75;;;;0;
1992-01-22;;;;175,41;175,41;175,41;;;;0;
1992-01-21;;;;176,51;176,51;176,51;;;;0;
1992-01-20;;;;178,64;178,64;178,64;;;;0;
1992-01-17;;;;177,83;177,83;177,83;;;;0;
1992-01-16;;;;177,57;177,57;177,57;;;;0;
1992-01-15;;;;176,27;176,27;176,27;;;;0;
1992-01-14;;;;172,51;172,51;172,51;;;;0;
1992-01-13;;;;172,55;172,55;172,55;;;;0;
1992-01-10;;;;172,29;172,29;172,29;;;;0;
1992-01-09;;;;171,53;171,53;171,53;;;;0;
1992-01-08;;;;168,16;168,16;168,16;;;;0;
1992-01-07;;;;168,06;168,06;168,06;;;;0;
1992-01-03;;;;167,32;167,32;167,32;;;;0;
1992-01-02;;;;166,19;166,19;166,19;;;;0;
1991-12-30;;;;166,88;166,88;166,88;;;;0;
1991-12-27;;;;165,74;165,74;165,74;;;;0;
1991-12-23;;;;158,93;158,93;158,93;;;;0;
1991-12-20;;;;157,13;157,13;157,13;;;;0;
1991-12-19;;;;158,16;158,16;158,16;;;;0;
1991-12-18;;;;161,65;161,65;161,65;;;;0;
1991-12-17;;;;161,20;161,20;161,20;;;;0;
1991-12-16;;;;160,72;160,72;160,72;;;;0;
1991-12-13;;;;163,71;163,71;163,71;;;;0;
1991-12-12;;;;163,00;163,00;163,00;;;;0;
1991-12-11;;;;162,96;162,96;162,96;;;;0;
1991-12-10;;;;163,95;163,95;163,95;;;;0;
1991-12-09;;;;164,53;164,53;164,53;;;;0;
1991-12-06;;;;166,90;166,90;166,90;;;;0;
1991-12-05;;;;164,26;164,26;164,26;;;;0;
1991-12-04;;;;166,66;166,66;166,66;;;;0;
1991-12-03;;;;167,49;167,49;167,49;;;;0;
1991-12-02;;;;167,14;167,14;167,14;;;;0;
1991-11-29;;;;171,10;171,10;171,10;;;;0;
1991-11-28;;;;169,71;169,71;169,71;;;;0;
1991-11-27;;;;168,54;168,54;168,54;;;;0;
1991-11-26;;;;169,46;169,46;169,46;;;;0;
1991-11-25;;;;165,98;165,98;165,98;;;;0;
1991-11-22;;;;168,53;168,53;168,53;;;;0;
1991-11-21;;;;171,65;171,65;171,65;;;;0;
1991-11-20;;;;170,80;170,80;170,80;;;;0;
1991-11-19;;;;171,03;171,03;171,03;;;;0;
1991-11-18;;;;172,05;172,05;172,05;;;;0;
1991-11-15;;;;176,66;176,66;176,66;;;;0;
1991-11-14;;;;177,94;177,94;177,94;;;;0;
1991-11-13;;;;182,15;182,15;182,15;;;;0;
1991-11-12;;;;182,39;182,39;182,39;;;;0;
1991-11-11;;;;183,34;183,34;183,34;;;;0;
1991-11-08;;;;182,47;182,47;182,47;;;;0;
1991-11-07;;;;183,04;183,04;183,04;;;;0;
1991-11-06;;;;184,47;184,47;184,47;;;;0;
1991-11-05;;;;185,44;185,44;185,44;;;;0;
1991-11-04;;;;185,64;185,64;185,64;;;;0;
1991-11-01;;;;185,88;185,88;185,88;;;;0;
1991-10-31;;;;186,04;186,04;186,04;;;;0;
1991-10-30;;;;185,98;185,98;185,98;;;;0;
1991-10-29;;;;184,58;184,58;184,58;;;;0;
1991-10-28;;;;182,77;182,77;182,77;;;;0;
1991-10-25;;;;182,42;182,42;182,42;;;;0;
1991-10-24;;;;183,18;183,18;183,18;;;;0;
1991-10-23;;;;182,65;182,65;182,65;;;;0;
1991-10-22;;;;182,57;182,57;182,57;;;;0;
1991-10-21;;;;183,06;183,06;183,06;;;;0;
1991-10-18;;;;180,66;180,66;180,66;;;;0;
1991-10-17;;;;178,39;178,39;178,39;;;;0;
1991-10-16;;;;178,47;178,47;178,47;;;;0;
1991-10-15;;;;176,26;176,26;176,26;;;;0;
1991-10-14;;;;179,94;179,94;179,94;;;;0;
1991-10-11;;;;181,55;181,55;181,55;;;;0;
